
局数,金额,胜负,收益,内容,牌型
131,2.72,True,.11,对子,K K 7
132,2.7,False,-.02,单张,J 8 2
133,2.68,False,-.02,顺子,9 8 7
134,2.66,False,-.02,单张,8 5 2
135,2.64,False,-.02,顺子,4 3 2
136,2.62,False,-.02,单张,A J 3
137,2.6,False,-.02,单张,K 8 8
138,2.58,False,-.02,对子,A 5 5
139,2.56,False,-.02,对子,8 2 2
140,2.54,False,-.02,顺子,10 8 8
141,2.48,False,-.06,对子,9 8 8
142,2.46,False,-.02,对子,K K 5
143,2.4,False,-.06,对子,A 8 8
144,2.7,True,.3,金花,K Q 10
145,2.68,False,-.02,单张,10 7 5
146,3.12,True,.44,金花,10 8 6
147,2.69,False,-.43,金花,9 5 4
148,4,True,1.31,金花,A 6 4
149,3.75,False,-.25,顺子,J 10 9
150,3.64,False,-.11,单张,J 4 2
151,3.62,False,-.02,对子,K K 2
152,3.51,False,-.11,顺子,A 3 2
153,3.05,False,-.46,顺子,Q J 10
154,2.83,False,-.22,顺子,J 10 9
155,2.72,False,-.11,顺子,6 5 4
156,4.97,True,2.25,豹子,10 10 10
157,4.86,False,-.11,单张,A 6 3
158,4.75,False,-.11,对子,K J J
159,4.64,False,-.11,对子,K K 9
160,4.62,False,-.02,对子,9 2 2
161,4.51,False,-.11,对子,7 7 5
162,4.4,False,-.11,单张,A K 6
163,4,False,-.4,单张,K 6 2
164,4,False,0,对子,8 3 3
165,4.16,True,.16,单张,10 8 5
166,4.14,False,-.02,单张,K 8 5
167,4.03,False,-.11,对子,7 3 3
168,3.92,False,-.11,单张,9 6 4
169,3.81,False,-.11,顺子,10 8 8
170,3.7,False,-.11,对子,10 3 3
171,3.59,False,-.11,对子,A A 5
172,3.57,False,-.02,对子,8 6 6
173,3.46,False,-.11,对子,10 7 7
174,3.44,False,-.02,单张,A 10 6
175,3,False,-.44,对子,J J 3
176,3,False,0,单张,A Q 2
177,3,False,0,单张,K J 6
178,3.51,True,.51,对子,A A 4
179,3.45,False,-.06,对子,8 2 2
180,3.43,False,-.02,单张,K 8 7
181,3,False,-.43,对子,A A 3
182,3,False,0,对子,J 8 9
183,3.19,True,.19,单张,9 4 3
184,3.08,False,-.11,单张,A 8 6
185,2.57,False,-.51,金花,10 7 3
186,2.55,False,-.02,单张,8 5 2
187,2.44,False,-.11,对子,8 2 2
188,2,False,-.44,对子,K K 6
189,2,False,0,对子,K 5 5
190,2.74,True,.74,对子,A 6 6
191,2.72,False,-.02,顺子,8 4 3
192,2.61,False,-.11,顺子,7 6 5
193,2.59,False,-.02,单张,K 8 7
194,3,True,.41,顺金,10 8 8
195,3.93,True,.93,金花,8 3 2
196,3.91,False,-.02,单张,K J 8
197,3.8,False,-.11,单张,10 7 4
198,3.69,False,-.11,顺子,8 4 3
199,3.58,False,-.11,单张,A J 5
200,4.76,True,1.18,金花,Q 5 3
201,4.65,False,-.11,单张,Q 10 3
202,4,False,-.65,金花,9 3 2
203,4,False,0,单张,A 10 6
204,6.44,True,2.44,金花,A K 8
205,6,False,-.44,单张,7 6 4
206,6,False,0,单张,J 8 6
207,6,False,0,对子,Q Q 7
208,3.67,False,-2.33,金花,A 8 2
209,3.56,False,-.11,单张,10 7 6
210,3.45,False,-.11,单张,K Q 7
211,5.74,True,2.29,豹子,J J J
212,5.72,False,-.02,单张,Q 10 3
213,5.7,False,-.02,单张,10 3 2
214,5.59,False,-.11,单张,Q 4 3
215,5.48,False,-.11,顺子,8 4 3
216,5,False,-.48,单张,A 8 5
217,5,False,0,对子,9 6 6
218,5.96,True,.96,金花,A K 2
219,5.84,False,-.12,单张,8 4 2
220,6.48,True,.64,金花,10 4 3
221,6,False,-.48,对子,Q Q 5
222,6,False,0,单张,Q 6 3
223,7.87,True,1.87,顺金,10 8 8
224,7.76,False,-.11,单张,K 10 8
225,7.7,False,-.06,单张,J 8 7
226,8.51,True,.81,金花,A 8 3
227,8.49,False,-.02,单张,10 5 4
228,7,False,-1.49,顺金,7 6 5
229,7.12,True,.12,单张,10 5 4
230,7.01,False,-.11,单张,A J 4
231,6.9,False,-.11,对子,A A J
232,6.48,False,-.42,顺子,Q J 10
233,6.46,False,-.02,单张,Q J 7
234,6,False,-.46,单张,J 6 2
235,6,False,0,对子,8 5 4
236,6,False,0,对子,7 7 4
237,6,False,0,单张,8 5 3
238,6.68,True,.68,金花,K 8 3
239,6.66,False,-.02,单张,8 6 5
240,6.64,False,-.02,单张,K 10 5
241,6.62,False,-.02,对子,8 8 7
242,6.6,False,-.02,对子,10 10 9
243,6.73,True,.13,金花,Q 6 3
244,7.67,True,.94,顺子,8 4 3
245,7.56,False,-.11,单张,K 10 6
246,8.52,True,.96,金花,K 6 5
247,8.41,False,-.11,对子,A A J
248,8,False,-.41,对子,A K K
249,8.19,True,.19,顺子,A 3 2
250,8.08,False,-.11,单张,A 7 6
251,7.97,False,-.11,对子,Q 10 10
252,7.85,False,-.12,单张,J 8 6
253,7.83,False,-.02,单张,K J 10
254,7.72,False,-.11,对子,7 7 5
255,7.66,False,-.06,对子,K K 2
256,7.55,False,-.11,顺子,A 3 2
257,7.44,False,-.11,单张,10 7 3
258,7,False,-.44,单张,A 10 3
259,7,False,0,单张,10 7 2
260,7,False,0,单张,K J 2
261,7,False,0,对子,J 10 10
262,7.07,True,.07,单张,Q 10 7
263,6.96,False,-.11,单张,7 6 3
264,6.94,False,-.02,对子,6 6 5
265,6.92,False,-.02,对子,4 2 2
266,7.72,True,.8,顺金,8 7 6
267,7.61,False,-.11,对子,A 7 7
268,7.5,False,-.11,单张,8 6 4
269,7,False,-.5,单张,10 5 3
270,7,False,0,单张,10 5 4
271,7,False,0,单张,A 7 4
272,6.55,False,-.45,顺子,J 10 9
273,6.44,False,-.11,单张,K 8 3
274,6,False,-.44,对子,10 7 7
275,6,False,0,对子,K J J
276,6,False,0,对子,9 8 2
277,6,False,0,对子,A 4 4
278,6.07,True,.07,单张,J 8 6
279,5.56,False,-.51,顺子,Q J 10
280,5.45,False,-.11,对子,8 8 5
281,5.77,True,.32,对子,Q Q J
282,5.75,False,-.02,单张,K 10 6
283,5.64,False,-.11,单张,J 6 4
284,6.53,True,.89,金花,K 8 5
285,6.42,False,-.11,单张,A 8 2
286,6,False,-.42,对子,8 5 5
287,6,False,0,单张,J 8 4
288,6.14,True,.14,单张,A Q 3
289,6.12,False,-.02,单张,Q J 4
290,6.09,False,-.03,对子,8 3 3
291,6.49,True,.4,单张,J 8 6
292,5.98,False,-.51,金花,K 10 2
293,5.87,False,-.11,单张,A Q 6
294,5.76,False,-.11,对子,10 8 8
295,5.74,False,-.02,单张,Q 7 2
296,5.72,False,-.02,对子,J J 8
297,5.7,False,-.02,顺子,9 8 7
298,5.59,False,-.11,单张,A 7 4
299,6,True,.41,顺金,4 3 2
300,5.89,False,-.11,单张,Q 8 3
301,5.78,False,-.11,单张,Q J 8
302,5,False,-.78,顺子,J 10 9
303,5.16,True,.16,单张,Q 10 9
304,5.14,False,-.02,单张,9 5 2
305,5.12,False,-.02,单张,K 7 3
306,5.93,True,.81,豹子,A A A
307,5.82,False,-.11,单张,J 10 2
308,5.71,False,-.11,单张,Q 10 5
309,5.6,False,-.11,对子,K K Q
310,5.58,False,-.02,单张,Q 8 7
311,5.56,False,-.02,对子,10 10 7
312,5.45,False,-.11,对子,J 2 2
313,5,False,-.45,对子,10 4 4
314,5,False,0,单张,K J 5
315,8.02,True,3.02,豹子,6 6 6
316,8.43,True,.41,金花,10 8 7
317,8.41,False,-.02,单张,7 6 4
318,14.63,True,6.22,豹子,Q Q Q
局数,金额,胜负,收益,内容,牌型
1,9.61,False,-.02,,
2,9.5,False,-.11,顺子,A 3 2
3,9,False,-.5,顺子,4 3 2
4,9,False,0,单张,10 3 2
5,9.17,True,.17,单张,A J 2
6,9.06,False,-.11,对子,J J 5
7,9,False,-.06,顺子,K Q J
8,11,True,2,顺金,Q J 10
9,6,False,-5,顺子,8 4 3
10,6,False,0,对子,J 7 7
11,7.87,True,1.87,金花,8 4 3
12,7,False,-.87,金花,8 6 5
13,6.85,False,-.15,对子,A 7 7
14,7.16,True,.31,顺子,8 7 6
15,7.05,False,-.11,单张,J 8 4
16,6.94,False,-.11,对子,Q Q 6
17,7.5,True,.56,金花,K Q 9
18,7.48,False,-.02,单张,A 8 7
19,7,False,-.48,对子,4 4 2
20,7,False,0,单张,A K 10
21,7,False,0,单张,6 3 2
22,8,True,1,金花,Q 10 5
23,8.15,True,.15,单张,A 10 6
24,8.04,False,-.11,单张,J 4 3
25,9.41,True,1.37,金花,A 10 6
26,9,False,-.41,对子,9 6 6
27,9,False,0,单张,K 6 5
28,9,False,0,单张,Q 10 3
29,9.15,True,.15,对子,J 3 3
30,9.68,True,.53,对子,K K 6
31,9.66,False,-.02,单张,Q 7 5
32,9.64,False,-.02,对子,Q 8 9
33,9.53,False,-.11,单张,10 8 5
34,9.51,False,-.02,单张,K Q 9
35,9.09,False,-.42,顺子,K Q J
36,9.07,False,-.02,对子,A A 8
37,9.05,False,-.02,对子,A 7 7
38,8.94,False,-.11,顺子,6 5 4
39,8.83,False,-.11,对子,Q 8 8
局数,金额,胜负,收益,内容,牌型
1,1.27,True,.27,,
2,.81,False,-.46,顺子,K Q J
3,.79,False,-.02,单张,Q J 2
4,.77,False,-.02,单张,J 7 5
5,.71,False,-.06,单张,9 3 2
6,.6,False,-.11,单张,J 7 4
7,.58,False,-.02,单张,K 8 7
8,1,True,.42,顺金,9 8 7
9,1.36,True,.36,对子,9 8 4
10,1.34,False,-.02,对子,Q Q 2
11,1.23,False,-.11,对子,K Q Q
12,1.21,False,-.02,单张,Q 6 4
13,1.1,False,-.11,单张,10 6 5
14,1,False,-.1,单张,A 8 5
15,1.06,True,.06,顺子,4 3 2
16,1.16,True,.1,顺子,4 3 2
17,1.05,False,-.11,单张,10 5 4
18,1.03,False,-.02,顺子,4 3 2
19,.92,False,-.11,单张,10 8 3
20,.81,False,-.11,单张,A Q J
21,.7,False,-.11,对子,9 2 2
22,.59,False,-.11,对子,8 8 7
局数,金额,胜负,收益,内容,牌型
1,2,False,0,,
2,2.85,True,.85,金花,K 8 3
3,4.13,True,1.28,豹子,8 5 5
4,3.82,False,-.31,顺子,4 3 2
5,3.71,False,-.11,单张,K 8 6
6,3.69,False,-.02,单张,A 10 6
7,3,False,-.69,金花,8 5 2
8,3.07,True,.07,单张,8 5 4
9,2.96,False,-.11,对子,6 6 4
10,2.85,False,-.11,单张,10 7 3
11,2.74,False,-.11,单张,J 10 7
12,2.72,False,-.02,单张,8 7 3
13,2.7,False,-.02,对子,J 6 6
14,2.59,False,-.11,对子,6 6 5
15,2.57,False,-.02,对子,A 5 5
16,2.46,False,-.11,对子,6 3 3
